70,brzeski,Dębno,Zespół Szkół - Szkoła Podstawowa w Sufczynie,Sufczyn,,18,17,67,6,68,66,18,79,7,,,,,,0.5924592892742615
71,brzeski,Dębno,"Zespół Szkół - Publiczna Szkoła Podstawowa im.
Kardynała Stefana Wyszyńskiego w Woli
Dębińskiej","Wola
Dębińska",,21,5,50,2,65,35,21,60,3,,,,,,0.3155420048060361
72,brzeski,Dębno,Publiczna Szkoła Podstawowa w Jaworsku,Jaworsko,,3,0,58,4,72,45,3,68,5,,,,,,0.44218826248168563
73,brzeski,Dębno,Publiczna Szkoła Podstawowa w Łoniowej,Łoniowa,,12,8,62,5,63,61,12,70,5,,,,,,0.5111964402735865
74,brzeski,Dębno,Publiczna Szkoła Podstawowa w Niedźwiedzy,Niedźwiedza,,7,0,76,8,82,70,7,80,7,,,,,,0.7352031071856525
75,brzeski,Dębno,Zespół Szkolno - Przedszkolny w Łysej Górze,Łysa Góra,,15,0,72,7,77,66,15,85,8,,,,,,0.6505485921160611
76,brzeski,Dębno,Zespół Szkolno - Przedszkolny w Maszkienicach,Maszkienice,,17,6,54,3,65,43,17,64,4,,,,,,0.3936609394323165
77,brzeski,Dębno,"Zespół Szkolno-Przedszkolny - Publiczna Szkoła
Podstawowa im. Tadeusza Kościuszki w Dębnie",Dębno,,21,5,57,4,66,48,21,67,5,,,,,,0.443315020118741
78,brzeski,Dębno,"Publiczna Szkoła Podstawowa im. Władysława
Reymonta","Porąbka
Uszewska",pi,22,5,64,6,68,59,22,62,4,,,,,,0.5601280261592386
79,brzeski,Gnojnik,Publiczna Szkoła Podstawowa w Gnojniku,Gnojnik,,36,17,57,4,68,46,36,59,3,,,,,,0.41162411130804183
80,brzeski,Gnojnik,Publiczna Szkoła Podstawowa w Gosprzydowej,Gosprzydowa,z,5,40,57,4,62,51,5,75,6,,,,,,0.45594583157331076
81,brzeski,Gnojnik,"Zespół Szkolno - Przedszkolny, Publiczna Szkoła
Podstawowa w Biesiadkach",Biesiadki,,14,7,82,9,84,79,14,91,9,,,,,,0.8262183406530048
82,brzeski,Gnojnik,Publiczna Szkoła Podstawowa w Lewniowej,Lewniowa,,17,6,66,6,72,61,17,75,6,,,,,,0.5962113153030391
83,brzeski,Iwkowa,Publiczna Szkoła Podstawowa nr 1 w Iwkowej,Iwkowa,,27,4,57,4,69,46,27,62,4,,,,,,0.4422784861217606
84,brzeski,Iwkowa,Publiczna Szkoła Podstawowa,Iwkowa,,8,0,61,5,65,58,8,79,7,,,,,,0.4750951019326101
