105,gorlicki,Gorlice,Publiczne Gimnazjum w Kobylance,Kobylanka,,19,21%,74,7,69,8,53,7,55,6,19,65,5,19,44,0,,,0,,0,,0,
106,gorlicki,Gorlice,Gimnazjum w Kwiatonowicach,Kwiatonowice,,10,10%,58,3,54,4,44,5,57,7,10,59,4,10,36,0,,,0,,0,,0,
107,gorlicki,Gorlice,"Zespół Szkół w Bystrej - Gimnazjum im. JuliuszaSłowackiego",Bystra,,14,7%,60,3,57,%5,35,3,49,5,14,43,2,14,25,0,,,0,,0,,0,
108,gorlicki,Gorlice,"Gimnazjum im. Świętej Jadwigi Królowej wKlęczanach",Klęczany,,19,58%,71%,6,58,5,40,4,55,6,19,68,6,19,50,0,,,0,,0,,0,
109,gorlicki,Gorlice,Gimnazjum im. Jana Pawła II w Stróżówce,Stróżówka,,19,11%,73,6,66,7,49,6,58,7,18,65,5,18,48,2,80,,2,58,0,,0,
110,gorlicki,Lipinki,"Zespół Szkół w Krygu Publiczne Gimnazjum św.Jadwigi Królowej",Kryg,,15,0%,63,4,50,3,35,3,46,4,9,48,3,0,,6,58,6,6,28,0,,0,
111,gorlicki,Lipinki,"Publiczne Gimnazjum im. ks. Jana Patrzyka wLipinkach",Lipinki,,49,10%,61,3,53,4,42,5,47,4,31,57,4,29,39,18,43,3,3,28,0,,0,
112,gorlicki,Łużna,Publiczne Gimnazjum w Łużnej,Łużna,,50,16%,69,5,58,5,44,5,54,6,25,67,5,25,53,25,61,6,0,,0,,0,
113,gorlicki,Łużna,Publiczne Gimnazjum w Szalowej,Szalowa,,33,15%,72,6,61,6,46,5,54,6,32,63,5,32,43,1,30,,1,15,0,,0,
114,gorlicki,Moszczenica,Gimnazjum w Moszczenicy,Moszczenica,,40,25%,66,4,58,5,42,5,53,6,40,65,5,40,48,0,,,0,,0,,0,
115,gorlicki,Ropa,Gimnazjum w Ropie,Ropa,,72,13%,68,5,53,4,42,5,50,5,56,47,2,56,29,16,54,5,16,30,0,,0,
116,gorlicki,Sękowa,Publiczne Gimnazjum w Sękowej,Sękowa,,31,29%,73,6,63,6,45,5,53,6,27,63,5,27,43,4,44,,0,,0,,0,
117,gorlicki,Sękowa,"Publiczne Gimnazjum im. Władysława Długoszaw Siarach",Siary,,19,16%,57,3,52,4,44,5,50,5,19,52,3,19,34,0,,,0,,0,,0,
118,gorlicki,Uście Gorlickie,Gimnazjum w Uściu Gorlickim,Uście Gorlickie,,57,2%,70,5,59,5,46,5,52,5,44,61,5,44,43,13,68,7,13,43,0,,0,
119,gorlicki,Uście Gorlickie,Gimnazjum w Brunarach,Brunary,,22,0%,56,2,43,2,33,3,41,2,18,42,2,18,25,4,48,,4,9,0,,0,
120,krakowski,Czernichów,Gimnazjum w Czernichowie,Czernichów,,45,20%,77,7,65,7,48,6,54,6,45,66,5,45,44,0,,,0,,0,,0,
121,krakowski,Czernichów,Gimnazjum im. Królowej Jadwigi w Rybnej,Rybna,Szkolna,41,17%,63,4,54,4,53,7,53,6,40,58,4,40,36,1,90,,0,,0,,0,
122,krakowski,Czernichów,"Gimnazjum, im. ks. Stanisława Słotwińskiego",Kamień,,35,26%,63,4,56,5,37,4,51,5,35,57,4,35,34,0,,,0,,0,,0,
123,krakowski,Czernichów,Gimnazjum w Wołowicach,Wołowice,,26,15%,71,6,62,6,48,6,59,7,26,72,6,26,47,0,,,0,,0,,0,
124,krakowski,"Igołomia-Wawrzeńczyce",Gimnazjum w Wawrzeńczycach,Wawrzeńczyce,,41,17%,69,5,63,6,48,6,54,6,41,60,4,41,41,0,,,0,,0,,0,
125,krakowski,"Igołomia-Wawrzeńczyce",Gimnazjum w Igołomi,Igołomia,,31,10%,70,5,60,6,51,6,54,6,30,59,4,30,41,0,,,0,,0,,0,
126,krakowski,Iwanowice,Gimnazjum w Iwanowicach,"IwanowiceWłościańskie",,42,14%,70,5,58,5,42,5,49,5,42,61,5,42,43,0,,,0,,0,,0,
127,krakowski,Iwanowice,Publiczne Gimnazjum w Poskwitowie,Poskwitów,,15,13%,74,7,69,8,58,7,60,7,15,71,6,15,52,0,,,0,,0,,0,
128,krakowski,Iwanowice,"Publiczne Gimnazjum im. Świętej JadwigiKrólowej w Naramie",Narama,Centralna,13,38%,75,7,64,7,48,6,55,6,13,63,5,13,50,0,,,0,,0,,0,
129,krakowski,Iwanowice,Gimnazjum im. Noblistów Polskich,"GrzegorzowiceWielkie",,16,13%,74,7,69,8,50,6,58,7,16,64,5,16,43,0,,,0,,0,,0,
