     mwg14      | dochod_bud_pra 
 30640296703503 |           5181
 30640296703504 |           4858
 30640296703505 |           4115
 30640296703506 |           3987
 30640296703601 |           4836
 30640296703602 |           4755
 30640296703603 |           4911
 30640296703604 |           4836
 30640296703605 |           4784
 30640296703606 |           4821
 30640296703701 |           4798
 30640296703702 |           5038
 30640296703703 |           4377
 30640296703704 |           4771
 30640296703705 |           4602
 30640296703706 |           4771
 30640296703707 |           4771
 30640296703708 |           5093
 30640296703801 |           4752
 30640296703802 |           4752
 30640296703803 |           4752
 30640296703804 |           4601
 30640296703805 |           4696
 30640296703806 |           4553
 30640296703901 |           4899
 30640296703902 |           4749
 30640296703903 |           4900
 30640296703904 |           4585
 30640296703905 |           4637
 30640296703906 |           4749
 30640296703907 |           4581
 30640296704001 |           4813
 30640296704002 |           4748
 30640296704003 |           4763
 30640296704004 |           4763
 30640296704005 |           4556
 30640296704006 |           4853
 30640296704101 |           4714
 30640296704102 |           4714
 30640296704103 |           4714
 30640296704104 |           4714
 30640296704105 |           4702
 30640296704201 |           4452
 30640296704202 |           4873
 30640296704203 |           4511
 30640296704204 |           4731
 30640296704205 |           4659
 30640296704206 |           4651
 30640296704207 |           4659
 30640296704301 |           4721
 30640296704302 |           4775
 30640296704303 |           4775
 30640296704304 |           4718
 30640296704401 |           4970
 30640296704402 |           4868
 30640296704403 |           4868
 30640296704404 |           4868
 30640296704501 |           4674
 30640296704502 |           4669
 30640296704503 |           4737
 30640296704504 |           5115
 30640296704505 |           4500
 30640296704601 |           4772
 30640296704602 |           4637
 30640296704603 |           4772
 30640296704604 |           4772
 30640296704605 |           5558
 30640296704606 |           4767
 30640296704607 |           4414
 30640296704701 |           4906
 30640296704702 |           4581
 30640296704703 |           4779
 30640296704801 |           4729
 30640296704802 |           4837
 30640296704803 |           4757
 30640296704901 |           4766
 30640296704902 |           4653
