   mwg14_2015   | kod_pocztowy |      nazwa_miejsc      | kod_miejsc |   nazwa_cz_miejsc   | kod_cz_miejsc | kod_gminy | kod_gminy_distr |   nazwa_woj   |  nazwa_pow  |      nazwa_gmi      | segment_gminy 
 12610293900311 | 31-234       | KRAKÓW                 | 0950463    | KRAKÓW-KROWODRZA    | 0950470       | 1261011   | 1261029         | MAŁOPOLSKIE   | KRAKÓW      | KRAKÓW-KROWODRZA    | A1
 12610293900411 | 31-234       | KRAKÓW                 | 0950463    | KRAKÓW-KROWODRZA    | 0950470       | 1261011   | 1261029         | MAŁOPOLSKIE   | KRAKÓW      | KRAKÓW-KROWODRZA    | A1
 12610293900412 | 31-234       | KRAKÓW                 | 0950463    | KRAKÓW-KROWODRZA    | 0950470       | 1261011   | 1261029         | MAŁOPOLSKIE   | KRAKÓW      | KRAKÓW-KROWODRZA    | A1
 12610293904201 | 30-298       | KRAKÓW                 | 0950463    | KRAKÓW-KROWODRZA    | 0950470       | 1261011   | 1261029         | MAŁOPOLSKIE   | KRAKÓW      | KRAKÓW-KROWODRZA    | A1
 12610293910416 | 30-232       | KRAKÓW                 | 0950463    | KRAKÓW-KROWODRZA    | 0950470       | 1261011   | 1261029         | MAŁOPOLSKIE   | KRAKÓW      | KRAKÓW-KROWODRZA    | A1
 12610293904206 | 30-298       | KRAKÓW                 | 0950463    | KRAKÓW-KROWODRZA    | 0950470       | 1261011   | 1261029         | MAŁOPOLSKIE   | KRAKÓW      | KRAKÓW-KROWODRZA    | A1
 12061623984126 | 32-082       | BOLECHOWICE            | 0343562    |                     |               | 1206162   | 1206162         | MAŁOPOLSKIE   | KRAKOWSKI   | ZABIERZÓW           | A2
 12061623984502 | 32-080       | BRZEZIE                | 0343645    |                     |               | 1206162   | 1206162         | MAŁOPOLSKIE   | KRAKOWSKI   | ZABIERZÓW           | A2
 12061623984503 | 32-080       | BRZEZIE                | 0343645    |                     |               | 1206162   | 1206162         | MAŁOPOLSKIE   | KRAKOWSKI   | ZABIERZÓW           | A2
 12061623984402 | 32-064       | BRZEZINKA              | 0343651    |                     |               | 1206162   | 1206162         | MAŁOPOLSKIE   | KRAKOWSKI   | ZABIERZÓW           | A2
 12061623984401 | 32-064       | BRZEZINKA              | 0343651    |                     |               | 1206162   | 1206162         | MAŁOPOLSKIE   | KRAKOWSKI   | ZABIERZÓW           | A2
 12061623984605 | 32-084       | BRZOSKWINIA            | 0343674    |                     |               | 1206162   | 1206162         | MAŁOPOLSKIE   | KRAKOWSKI   | ZABIERZÓW           | A2
 12061623984606 | 32-084       | BRZOSKWINIA            | 0343674    |                     |               | 1206162   | 1206162         | MAŁOPOLSKIE   | KRAKOWSKI   | ZABIERZÓW           | A2
 12061623985101 | 32-083       | BURÓW                  | 0343711    |                     |               | 1206162   | 1206162         | MAŁOPOLSKIE   | KRAKOWSKI   | ZABIERZÓW           | A2
 12061623984005 | 32-082       | KARNIOWICE             | 0343740    |                     |               | 1206162   | 1206162         | MAŁOPOLSKIE   | KRAKOWSKI   | ZABIERZÓW           | A2
 12061623984001 | 32-082       | KOBYLANY               | 0343786    |                     |               | 1206162   | 1206162         | MAŁOPOLSKIE   | KRAKOWSKI   | ZABIERZÓW           | A2
 12061623984002 | 32-082       | KOBYLANY               | 0343786    |                     |               | 1206162   | 1206162         | MAŁOPOLSKIE   | KRAKOWSKI   | ZABIERZÓW           | A2
 12061623984601 | 32-064       | MŁYNKA                 | 0343823    |                     |               | 1206162   | 1206162         | MAŁOPOLSKIE   | KRAKOWSKI   | ZABIERZÓW           | A2
 12061623984404 | 32-064       | NIEGOSZOWICE           | 0343846    |                     |               | 1206162   | 1206162         | MAŁOPOLSKIE   | KRAKOWSKI   | ZABIERZÓW           | A2
 12061623984602 | 32-064       | NIELEPICE              | 0343869    |                     |               | 1206162   | 1206162         | MAŁOPOLSKIE   | KRAKOWSKI   | ZABIERZÓW           | A2
 12061623984603 | 32-064       | NIELEPICE              | 0343869    |                     |               | 1206162   | 1206162         | MAŁOPOLSKIE   | KRAKOWSKI   | ZABIERZÓW           | A2
 12061623984604 | 32-064       | NIELEPICE              | 0343869    |                     |               | 1206162   | 1206162         | MAŁOPOLSKIE   | KRAKOWSKI   | ZABIERZÓW           | A2
 12061623984201 | 32-064       | RADWANOWICE            | 0343881    |                     |               | 1206162   | 1206162         | MAŁOPOLSKIE   | KRAKOWSKI   | ZABIERZÓW           | A2
 12061623984202 | 32-064       | RADWANOWICE            | 0343881    |                     |               | 1206162   | 1206162         | MAŁOPOLSKIE   | KRAKOWSKI   | ZABIERZÓW           | A2
 12061623985225 | 30-199       | RZĄSKA                 | 0343912    |                     |               | 1206162   | 1206162         | MAŁOPOLSKIE   | KRAKOWSKI   | ZABIERZÓW           | A2
 12061623985229 | 30-199       | RZĄSKA                 | 0343912    |                     |               | 1206162   | 1206162         | MAŁOPOLSKIE   | KRAKOWSKI   | ZABIERZÓW           | A2
 12061623985224 | 30-199       | RZĄSKA                 | 0343912    |                     |               | 1206162   | 1206162         | MAŁOPOLSKIE   | KRAKOWSKI   | ZABIERZÓW           | A2
 12061623985226 | 30-199       | RZĄSKA                 | 0343912    |                     |               | 1206162   | 1206162         | MAŁOPOLSKIE   | KRAKOWSKI   | ZABIERZÓW           | A2
 12061623985227 | 30-199       | RZĄSKA                 | 0343912    |                     |               | 1206162   | 1206162         | MAŁOPOLSKIE   | KRAKOWSKI   | ZABIERZÓW           | A2
 12061623984301 | 32-064       | RUDAWA                 | 0343941    |                     |               | 1206162   | 1206162         | MAŁOPOLSKIE   | KRAKOWSKI   | ZABIERZÓW           | A2
 12061623984302 | 32-064       | RUDAWA                 | 0343941    |                     |               | 1206162   | 1206162         | MAŁOPOLSKIE   | KRAKOWSKI   | ZABIERZÓW           | A2
 12061623985212 | 32-083       | SZCZYGLICE             | 0343964    |                     |               | 1206162   | 1206162         | MAŁOPOLSKIE   | KRAKOWSKI   | ZABIERZÓW           | A2
 12061623985211 | 32-083       | SZCZYGLICE             | 0343964    |                     |               | 1206162   | 1206162         | MAŁOPOLSKIE   | KRAKOWSKI   | ZABIERZÓW           | A2
 12061623984501 | 32-080       | UJAZD                  | 0343987    |                     |               | 1206162   | 1206162         | MAŁOPOLSKIE   | KRAKOWSKI   | ZABIERZÓW           | A2
 12061623984408 | 32-082       | WIĘCKOWICE             | 0343993    |                     |               | 1206162   | 1206162         | MAŁOPOLSKIE   | KRAKOWSKI   | ZABIERZÓW           | A2
 12610293900518 | 30-198       | KRAKÓW                 | 0950463    | KRAKÓW-KROWODRZA    | 0950470       | 1261011   | 1261029         | MAŁOPOLSKIE   | KRAKÓW      | KRAKÓW-KROWODRZA    | A1
 12061623984901 | 32-080       | ZABIERZÓW              | 0344024    |                     |               | 1206162   | 1206162         | MAŁOPOLSKIE   | KRAKOWSKI   | ZABIERZÓW           | A2
 12061623984112 | 32-082       | ZELKÓW                 | 0344030    |                     |               | 1206162   | 1206162         | MAŁOPOLSKIE   | KRAKOWSKI   | ZABIERZÓW           | A2
 12061723986002 | 32-086       | BATOWICE               | 0344060    |                     |               | 1206172   | 1206172         | MAŁOPOLSKIE   | KRAKOWSKI   | ZIELONKI            | A2
 12061723985822 | 32-087       | BIBICE                 | 0344076    |                     |               | 1206172   | 1206172         | MAŁOPOLSKIE   | KRAKOWSKI   | ZIELONKI            | A2
 12061723985812 | 32-087       | BIBICE                 | 0344076    |                     |               | 1206172   | 1206172         | MAŁOPOLSKIE   | KRAKOWSKI   | ZIELONKI            | A2
 12061723985821 | 32-087       | BIBICE                 | 0344076    |                     |               | 1206172   | 1206172         | MAŁOPOLSKIE   | KRAKOWSKI   | ZIELONKI            | A2
 12061723985811 | 32-087       | BIBICE                 | 0344076    |                     |               | 1206172   | 1206172         | MAŁOPOLSKIE   | KRAKOWSKI   | ZIELONKI            | A2
 12061723985823 | 32-087       | BIBICE                 | 0344076    |                     |               | 1206172   | 1206172         | MAŁOPOLSKIE   | KRAKOWSKI   | ZIELONKI            | A2
 12061723985714 | 32-087       | BIBICE                 | 0344076    |                     |               | 1206172   | 1206172         | MAŁOPOLSKIE   | KRAKOWSKI   | ZIELONKI            | A2
 12061723985912 | 32-086       | BOSUTÓW                | 0344107    |                     |               | 1206172   | 1206172         | MAŁOPOLSKIE   | KRAKOWSKI   | ZIELONKI            | A2
 12061723985913 | 32-086       | BOSUTÓW                | 0344107    |                     |               | 1206172   | 1206172         | MAŁOPOLSKIE   | KRAKOWSKI   | ZIELONKI            | A2
 12061723985911 | 32-086       | BOSUTÓW                | 0344107    |                     |               | 1206172   | 1206172         | MAŁOPOLSKIE   | KRAKOWSKI   | ZIELONKI            | A2
 12061723985302 | 32-088       | BRZOZÓWKA              | 0344136    |                     |               | 1206172   | 1206172         | MAŁOPOLSKIE   | KRAKOWSKI   | ZIELONKI            | A2
 12061723986003 | 32-086       | DZIEKANOWICE           | 0344165    |                     |               | 1206172   | 1206172         | MAŁOPOLSKIE   | KRAKOWSKI   | ZIELONKI            | A2
 12061723986001 | 32-086       | DZIEKANOWICE           | 0344165    |                     |               | 1206172   | 1206172         | MAŁOPOLSKIE   | KRAKOWSKI   | ZIELONKI            | A2
 12061723985406 | 32-088       | JANUSZOWICE            | 0344225    |                     |               | 1206172   | 1206172         | MAŁOPOLSKIE   | KRAKOWSKI   | ZIELONKI            | A2
 12061723985402 | 32-088       | KORZKIEW               | 0344231    |                     |               | 1206172   | 1206172         | MAŁOPOLSKIE   | KRAKOWSKI   | ZIELONKI            | A2
 12061723985523 | 32-087       | PĘKOWICE               | 0344290    |                     |               | 1206172   | 1206172         | MAŁOPOLSKIE   | KRAKOWSKI   | ZIELONKI            | A2
